run_id,strategy,pesticide_threshold,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
threshold_49,threshold,0.2,1,3.6537467004622255,0.3538308995377752,10,14961.240101386677,100.0
threshold_48,threshold,0.2,1,3.6661628365725587,0.34141476342744115,9,15098.488509717676,100.0
threshold_51,threshold,0.2,2,3.666098698092543,0.3414789019074553,10,24983.739972920048,100.0
threshold_50,threshold,0.2,2,3.675596926694025,0.33198067330597464,9,25134.210316302808,100.0
threshold_49,threshold,0.2,2,3.6656682021995826,0.34190939780041896,10,24958.244707985425,100.0
threshold_48,threshold,0.2,2,3.660273449870331,0.34730415012966787,10,25079.308859328667,100.0
threshold_51,threshold,0.2,3,3.663198541736853,0.3443790582631462,10,34973.33559813061,100.0
threshold_50,threshold,0.2,3,3.6526633399138104,0.35491426008618865,10,35092.20033604424,100.0
threshold_49,threshold,0.2,3,3.658092711278889,0.34948488872111155,10,34932.522841822094,100.0
threshold_48,threshold,0.2,3,3.6642670912670887,0.3433105087329112,10,35072.11013312993,100.0
threshold_55,threshold,0.2,1,3.6634796506169396,0.34409794938306,10,14990.43895185082,100.0
threshold_54,threshold,0.2,1,3.655301126270483,0.3522764737295194,10,14965.903378811448,100.0
threshold_53,threshold,0.2,1,3.6475839594489514,0.3599936405510465,10,14942.751878346855,100.0
threshold_52,threshold,0.2,1,3.6489597636933624,0.35861783630663724,10,14946.879291080088,100.0
threshold_55,threshold,0.2,2,3.6725233167633466,0.3350542832366519,9,25108.00890214086,100.0
threshold_54,threshold,0.2,2,3.6609648397651906,0.34661276023481014,10,24948.79789810702,100.0
threshold_53,threshold,0.2,2,3.662523995802134,0.34505360419786757,10,24930.323865753257,100.0
threshold_52,threshold,0.2,2,3.6700123185022058,0.3375652814977948,10,24956.916246586705,100.0
threshold_55,threshold,0.2,3,3.676090892163841,0.33148670783616047,10,35136.281578632384,100.0
threshold_54,threshold,0.2,3,3.643677164649832,0.36390043535016625,10,34879.82939205651,100.0
threshold_53,threshold,0.2,3,3.654944869074642,0.3526327309253577,10,34895.158472977186,100.0
threshold_52,threshold,0.2,3,3.6421812617486693,0.3653963382513316,10,34883.460031832714,100.0
threshold_59,threshold,0.2,1,3.6593551530958197,0.3482224469041804,9,15078.06545928746,100.0
threshold_58,threshold,0.2,1,3.6667564125199243,0.34082118748007545,10,15000.269237559773,100.0
threshold_57,threshold,0.2,1,3.639828037455162,0.3677495625448377,10,14919.484112365486,100.0
threshold_56,threshold,0.2,1,3.67089934207074,0.3366782579292597,9,15112.69802621222,100.0
threshold_59,threshold,0.2,2,3.6694568520656983,0.33812074793429975,10,25086.436015484556,100.0
threshold_58,threshold,0.2,2,3.6689114380575565,0.33866616194244414,9,25107.003551732443,100.0
threshold_57,threshold,0.2,2,3.6505171530830114,0.3570604469169883,10,24871.03557161452,100.0
threshold_56,threshold,0.2,2,3.6641576204170407,0.3434199795829598,10,25105.17088746334,100.0
threshold_59,threshold,0.2,3,3.648033904427963,0.3595436955720366,10,35030.537728768446,100.0
threshold_58,threshold,0.2,3,3.6525414640120464,0.35503613598795136,10,35064.62794376858,100.0
threshold_57,threshold,0.2,3,3.674794861340246,0.33278273865975444,10,34895.42015563526,100.0
threshold_56,threshold,0.2,3,3.648245429932347,0.35933217006765455,10,35049.90717726038,100.0
threshold_62,threshold,0.2,1,3.663257913236084,0.344319686763917,10,14989.773739708251,100.0
threshold_61,threshold,0.2,1,3.647179425360181,0.36039817463981977,10,14941.538276080542,100.0
threshold_60,threshold,0.2,1,3.6415094250994935,0.3660681749005067,10,14924.52827529848,100.0
threshold_63,threshold,0.2,1,3.67611270197406,0.3314648980259403,10,15028.33810592218,100.0
threshold_62,threshold,0.2,2,3.650791495939553,0.3567861040604479,10,24942.148227526908,100.0
threshold_61,threshold,0.2,2,3.6236567175749004,0.3839208824250996,10,24812.508428805246,100.0
threshold_60,threshold,0.2,2,3.6254905954910983,0.38208700450890154,10,24801.000061771774,100.0
threshold_63,threshold,0.2,2,3.6567257657591052,0.3508518342408963,9,25098.515403199497,100.0
threshold_62,threshold,0.2,3,3.6311376682413137,0.37643993175868573,9,34935.56123225085,100.0
threshold_61,threshold,0.2,3,3.624290155523434,0.38328744447656493,10,34685.37889537555,100.0
threshold_60,threshold,0.2,3,3.644947358501032,0.3626302414989674,10,34735.84213727487,100.0
threshold_63,threshold,0.2,3,3.6706929330530076,0.3368846669469926,9,35210.59420235852,100.0
threshold_67,threshold,0.2,1,3.6603342646608614,0.34724333533914,10,14981.002793982585,100.0
threshold_66,threshold,0.2,1,3.65747335842638,0.3501042415736207,9,15072.42007527914,100.0
threshold_65,threshold,0.2,1,3.611767297870763,0.3958103021292385,10,14835.30189361229,100.0
threshold_64,threshold,0.2,1,3.6552552578067883,0.35232234219321207,10,14965.765773420364,100.0
threshold_67,threshold,0.2,2,3.6433895576763793,0.364188042323622,10,24911.17146701172,100.0
threshold_66,threshold,0.2,2,3.6696748710935423,0.337902728906459,10,25081.444688559764,100.0
threshold_65,threshold,0.2,2,3.632132488506465,0.375445111493536,10,24731.699359131686,100.0
threshold_64,threshold,0.2,2,3.6556839375529644,0.3518936624470355,10,24932.817586079258,100.0
threshold_67,threshold,0.2,3,3.675384948644666,0.3321926513553343,9,35037.32631294572,100.0
threshold_66,threshold,0.2,3,3.666244230852039,0.3413333691479625,10,35080.17738111588,100.0
threshold_65,threshold,0.2,3,3.6678775831318364,0.3397000168681641,10,34735.3321085272,100.0
threshold_64,threshold,0.2,3,3.6477717471904927,0.3598058528095075,10,34876.132827650734,100.0
threshold_71,threshold,0.2,1,3.6387271657333127,0.3688504342666862,10,14916.181497199937,100.0
threshold_70,threshold,0.2,1,3.6360128971592856,0.371564702840714,10,14908.038691477857,100.0
threshold_69,threshold,0.2,1,3.655857463729504,0.3517201362704948,10,14967.57239118851,100.0
threshold_68,threshold,0.2,1,3.6970750034257316,0.3105025965742674,10,15091.225010277194,100.0
threshold_71,threshold,0.2,2,3.6668249124575234,0.340752687542477,10,24916.656234572507,100.0
threshold_70,threshold,0.2,2,3.649372257377344,0.3582053426226585,10,24856.155463609888,100.0
threshold_69,threshold,0.2,2,3.679406963721936,0.3281706362780635,10,25005.79328235432,100.0
threshold_68,threshold,0.2,2,3.6494559938181226,0.35812160618187605,10,25039.592991731563,100.0
threshold_71,threshold,0.2,3,3.635922787275272,0.3716548127247274,10,34824.42459639833,100.0
threshold_70,threshold,0.2,3,3.6841641489547783,0.3234134510452209,10,34908.647910474225,100.0
threshold_69,threshold,0.2,3,3.656605602056315,0.3509719979436848,10,34975.610088523266,100.0
threshold_68,threshold,0.2,3,3.651227299513565,0.3563503004864335,10,34993.27489027226,100.0
threshold_75,threshold,0.2,1,3.6610206583834284,0.34655694161657247,9,15083.061975150285,100.0
threshold_74,threshold,0.2,1,3.6956944069989635,0.31188319300103634,9,15187.08322099689,100.0
