run_id,strategy,plot_position,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
none_1,none,interior,1,4,4,2.32584510360072,1.6817324963992804,0,0.0,100.0
none_1,none,interior,1,5,4,2.304475314049274,1.703102285950726,0,0.0,100.0
none_1,none,interior,1,6,4,2.2934610593102938,1.714116540689707,0,0.0,100.0
none_1,none,interior,1,7,4,2.3086977855955833,1.698879814404417,0,0.0,100.0
none_1,none,interior,1,8,4,2.264305232768635,1.743272367231366,0,0.0,100.0
none_1,none,edge,1,9,4,2.362909240178933,1.6446683598210672,0,0.0,100.0
none_1,none,edge,1,0,5,2.346816550157522,1.6607610498424785,0,0.0,100.0
none_1,none,interior,1,1,5,2.2454060143550727,1.7621715856449283,0,0.0,100.0
none_1,none,interior,1,2,5,2.3150087275122093,1.6925688724877912,0,0.0,100.0
none_1,none,interior,1,3,5,2.3082987349345463,1.6992788650654538,0,0.0,100.0
none_1,none,interior,1,4,5,2.306801519983001,1.700776080016999,0,0.0,100.0
none_1,none,interior,1,5,5,2.318625565463512,1.6889520345364883,0,0.0,100.0
none_1,none,interior,1,6,5,2.284498482854495,1.7230791171455055,0,0.0,100.0
none_1,none,interior,1,7,5,2.2873667625220295,1.720210837477971,0,0.0,100.0
none_1,none,interior,1,8,5,2.267288958956819,1.740288641043182,0,0.0,100.0
none_1,none,edge,1,9,5,2.362461090893556,1.6451165091064441,0,0.0,100.0
none_1,none,edge,1,0,6,2.3520044047172095,1.6555731952827903,0,0.0,100.0
none_1,none,interior,1,1,6,2.27338538643797,1.7341922135620305,0,0.0,100.0
none_1,none,interior,1,2,6,2.2808486639500023,1.7267289360499984,0,0.0,100.0
none_1,none,interior,1,3,6,2.2850031187538473,1.7225744812461536,0,0.0,100.0
none_1,none,interior,1,4,6,2.2851938059401347,1.7223837940598659,0,0.0,100.0
none_1,none,interior,1,5,6,2.3049420129027376,1.702635587097263,0,0.0,100.0
none_1,none,interior,1,6,6,2.3247143890299418,1.6828632109700585,0,0.0,100.0
none_1,none,interior,1,7,6,2.28506736644743,1.7225102335525706,0,0.0,100.0
none_1,none,interior,1,8,6,2.26812253714777,1.7394550628522312,0,0.0,100.0
none_1,none,edge,1,9,6,2.359037167920549,1.6485404320794517,0,0.0,100.0
none_1,none,edge,1,0,7,2.3655169941145715,1.6420606058854292,0,0.0,100.0
none_1,none,interior,1,1,7,2.2668336997420684,1.740743900257933,0,0.0,100.0
none_1,none,interior,1,2,7,2.2869077406041236,1.7206698593958771,0,0.0,100.0
none_1,none,interior,1,3,7,2.3054102175389724,1.7021673824610282,0,0.0,100.0
none_1,none,interior,1,4,7,2.3056478780135743,1.701929721986426,0,0.0,100.0
none_1,none,interior,1,5,7,2.286058455100354,1.7215191448996465,0,0.0,100.0
none_1,none,interior,1,6,7,2.2736735142955413,1.733904085704459,0,0.0,100.0
none_1,none,interior,1,7,7,2.2666716536668994,1.7409059463331014,0,0.0,100.0
none_1,none,interior,1,8,7,2.2471210239024955,1.7604565760975053,0,0.0,100.0
none_1,none,edge,1,9,7,2.3216207996902942,1.6859568003097065,0,0.0,100.0
none_1,none,edge,1,0,8,2.3050238117515387,1.7025537882484625,0,0.0,100.0
none_1,none,interior,1,1,8,2.240862591838414,1.766715008161587,0,0.0,100.0
none_1,none,interior,1,2,8,2.262351730451928,1.7452258695480725,0,0.0,100.0
none_1,none,interior,1,3,8,2.297589128000717,1.7099884719992835,0,0.0,100.0
none_1,none,interior,1,4,8,2.297341834381381,1.7102357656186187,0,0.0,100.0
none_1,none,interior,1,5,8,2.2985800023608993,1.7089975976391014,0,0.0,100.0
none_1,none,interior,1,6,8,2.2576390764370458,1.7499385235629554,0,0.0,100.0
none_1,none,interior,1,7,8,2.2667092312763977,1.7408683687236026,0,0.0,100.0
none_1,none,interior,1,8,8,2.2135182113674765,1.794059388632525,0,0.0,100.0
none_1,none,edge,1,9,8,2.2758668094098553,1.7317107905901463,0,0.0,100.0
none_1,none,corner,1,0,9,2.5019409404198187,1.5056366595801793,0,0.0,100.0
none_1,none,edge,1,1,9,2.30298298420587,1.7045946157941319,0,0.0,100.0
none_1,none,edge,1,2,9,2.3645183819266085,1.6430592180733916,0,0.0,100.0
none_1,none,edge,1,3,9,2.4007414493819734,1.606836150618026,0,0.0,100.0
none_1,none,edge,1,4,9,2.4355123945175157,1.5720652054824833,0,0.0,100.0
none_1,none,edge,1,5,9,2.383946740609955,1.6236308593900464,0,0.0,100.0
none_1,none,edge,1,6,9,2.3635068224148763,1.6440707775851235,0,0.0,100.0
none_1,none,edge,1,7,9,2.3367554739225525,1.6708221260774476,0,0.0,100.0
none_1,none,edge,1,8,9,2.2890696926453176,1.7185079073546845,0,0.0,100.0
none_1,none,corner,1,9,9,2.448766571858458,1.5588110281415408,0,0.0,100.0
none_2,none,corner,1,0,0,2.514141848298183,1.4934357517018158,0,0.0,100.0
none_2,none,edge,1,1,0,2.3024989440736245,1.7050786559263775,0,0.0,100.0
none_2,none,edge,1,2,0,2.4044936835899544,1.6030839164100454,0,0.0,100.0
none_2,none,edge,1,3,0,2.3746970862761443,1.6328805137238558,0,0.0,100.0
none_2,none,edge,1,4,0,2.3595565847686966,1.6480210152313044,0,0.0,100.0
none_2,none,edge,1,5,0,2.3470289293822124,1.6605486706177879,0,0.0,100.0
none_2,none,edge,1,6,0,2.3598716504986763,1.6477059495013244,0,0.0,100.0
none_2,none,edge,1,7,0,2.3616064721636922,1.6459711278363083,0,0.0,100.0
none_2,none,edge,1,8,0,2.3311089617275536,1.676468638272449,0,0.0,100.0
none_2,none,corner,1,9,0,2.485712247378944,1.5218653526210535,0,0.0,100.0
none_2,none,edge,1,0,1,2.3403371650658653,1.667240434934136,0,0.0,100.0
none_2,none,interior,1,1,1,2.2415788696188526,1.7659987303811482,0,0.0,100.0
none_2,none,interior,1,2,1,2.273765150060601,1.7338124499393994,0,0.0,100.0
none_2,none,interior,1,3,1,2.3036621700982827,1.7039154299017174,0,0.0,100.0
none_2,none,interior,1,4,1,2.2784015927123717,1.729176007287629,0,0.0,100.0
none_2,none,interior,1,5,1,2.265950801247729,1.7416267987522718,0,0.0,100.0
none_2,none,interior,1,6,1,2.2724765209698043,1.7351010790301964,0,0.0,100.0
none_2,none,interior,1,7,1,2.2969744870872653,1.7106031129127348,0,0.0,100.0
none_2,none,interior,1,8,1,2.2389562181682203,1.7686213818317809,0,0.0,100.0
none_2,none,edge,1,9,1,2.3600110641938685,1.647566535806133,0,0.0,100.0
none_2,none,edge,1,0,2,2.362674044427036,1.6449035555729645,0,0.0,100.0
none_2,none,interior,1,1,2,2.2889178387694624,1.7186597612305385,0,0.0,100.0
none_2,none,interior,1,2,2,2.2910901232611125,1.7164874767388878,0,0.0,100.0
none_2,none,interior,1,3,2,2.3014527917091003,1.7061248082908997,0,0.0,100.0
none_2,none,interior,1,4,2,2.304551959936313,1.7030256400636874,0,0.0,100.0
none_2,none,interior,1,5,2,2.2786813393328447,1.728896260667156,0,0.0,100.0
