run_id,strategy,calendar_interval,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
calendar_158,calendar,7,1,3,4,3.624853641106136,0.3827239588938647,10,0.26,100.0
calendar_158,calendar,7,1,4,4,3.6039121947934816,0.4036654052065183,10,0.26,100.0
calendar_158,calendar,7,1,5,4,3.6197045295575636,0.3878730704424358,10,0.26,100.0
calendar_158,calendar,7,1,6,4,3.6213542235012848,0.3862233764987147,10,0.26,100.0
calendar_158,calendar,7,1,7,4,3.6088918422942284,0.3986857577057714,10,0.26,100.0
calendar_158,calendar,7,1,8,4,3.5470602168801024,0.460517383119897,10,0.26,100.0
calendar_158,calendar,7,1,9,4,3.650106743536144,0.3574708564638582,10,0.26,100.0
calendar_158,calendar,7,1,0,5,3.65362443283603,0.3539531671639697,10,0.26,100.0
calendar_158,calendar,7,1,1,5,3.5642470074632673,0.44333059253673357,10,0.26,100.0
calendar_158,calendar,7,1,2,5,3.6244374430655903,0.3831401569344095,10,0.26,100.0
calendar_158,calendar,7,1,3,5,3.613110500848994,0.3944670991510069,10,0.26,100.0
calendar_158,calendar,7,1,4,5,3.6285891439079636,0.37898845609203713,10,0.26,100.0
calendar_158,calendar,7,1,5,5,3.635615345913212,0.37196225408678824,10,0.26,100.0
calendar_158,calendar,7,1,6,5,3.6173576992994856,0.39021990070051454,10,0.26,100.0
calendar_158,calendar,7,1,7,5,3.6380499685146748,0.3695276314853254,10,0.26,100.0
calendar_158,calendar,7,1,8,5,3.5827565699630894,0.42482103003690996,10,0.26,100.0
calendar_158,calendar,7,1,9,5,3.667043130155585,0.34053446984441443,10,0.26,100.0
calendar_158,calendar,7,1,0,6,3.661179333942032,0.34639826605796814,10,0.26,100.0
calendar_158,calendar,7,1,1,6,3.5694103720680777,0.4381672279319216,10,0.26,100.0
calendar_158,calendar,7,1,2,6,3.5932335924449648,0.4143440075550355,10,0.26,100.0
calendar_158,calendar,7,1,3,6,3.6006801255325747,0.40689747446742613,10,0.26,100.0
calendar_158,calendar,7,1,4,6,3.6083807707464666,0.39919682925353306,10,0.26,100.0
calendar_158,calendar,7,1,5,6,3.6121004943028443,0.39547710569715727,10,0.26,100.0
calendar_158,calendar,7,1,6,6,3.6287779432420826,0.37879965675791805,10,0.26,100.0
calendar_158,calendar,7,1,7,6,3.6082986418521377,0.3992789581478624,10,0.26,100.0
calendar_158,calendar,7,1,8,6,3.5932932034248446,0.41428439657515526,10,0.26,100.0
calendar_158,calendar,7,1,9,6,3.648332274043473,0.3592453259565278,10,0.26,100.0
calendar_158,calendar,7,1,0,7,3.6785361124835076,0.329041487516491,10,0.26,100.0
calendar_158,calendar,7,1,1,7,3.569108344833726,0.438469255166275,10,0.26,100.0
calendar_158,calendar,7,1,2,7,3.5962685233479625,0.4113090766520371,10,0.26,100.0
calendar_158,calendar,7,1,3,7,3.5973282511860685,0.4102493488139321,10,0.26,100.0
calendar_158,calendar,7,1,4,7,3.5971480189600933,0.4104295810399057,10,0.26,100.0
calendar_158,calendar,7,1,5,7,3.633222626647229,0.37435497335277157,10,0.26,100.0
calendar_158,calendar,7,1,6,7,3.630193481988535,0.37738411801146393,10,0.26,100.0
calendar_158,calendar,7,1,7,7,3.623528162290757,0.3840494377092417,10,0.26,100.0
calendar_158,calendar,7,1,8,7,3.6197674354679403,0.3878101645320591,10,0.26,100.0
calendar_158,calendar,7,1,9,7,3.6584533433352586,0.34912425666474195,10,0.26,100.0
calendar_158,calendar,7,1,0,8,3.6195660919605075,0.3880115080394913,10,0.26,100.0
calendar_158,calendar,7,1,1,8,3.539857300702934,0.46772029929706704,10,0.26,100.0
calendar_158,calendar,7,1,2,8,3.5654563855000463,0.44212121449995173,10,0.26,100.0
calendar_158,calendar,7,1,3,8,3.5751938709835986,0.43238372901640076,10,0.26,100.0
calendar_158,calendar,7,1,4,8,3.585787023064086,0.4217905769359136,10,0.26,100.0
calendar_158,calendar,7,1,5,8,3.5983473009794524,0.4092302990205478,10,0.26,100.0
calendar_158,calendar,7,1,6,8,3.595192150079625,0.41238544992037823,10,0.26,100.0
calendar_158,calendar,7,1,7,8,3.574768777831988,0.4328088221680136,10,0.26,100.0
calendar_158,calendar,7,1,8,8,3.5375729635318094,0.47000463646818985,10,0.26,100.0
calendar_158,calendar,7,1,9,8,3.625292862106157,0.38228473789384176,10,0.26,100.0
calendar_158,calendar,7,1,0,9,3.695628800311318,0.311948799688682,10,0.26,100.0
calendar_158,calendar,7,1,1,9,3.6251532710598666,0.38242432894013256,10,0.26,100.0
calendar_158,calendar,7,1,2,9,3.6521418214869867,0.3554357785130127,10,0.26,100.0
calendar_158,calendar,7,1,3,9,3.66341588766583,0.34416171233417137,10,0.26,100.0
calendar_158,calendar,7,1,4,9,3.659497366444511,0.3480802335554894,10,0.26,100.0
calendar_158,calendar,7,1,5,9,3.663005770187817,0.34457182981218276,10,0.26,100.0
calendar_158,calendar,7,1,6,9,3.6603478490360897,0.347229750963911,10,0.26,100.0
calendar_158,calendar,7,1,7,9,3.636692387709889,0.37088521229010984,10,0.26,100.0
calendar_158,calendar,7,1,8,9,3.6312273872876593,0.3763502127123411,10,0.26,100.0
calendar_158,calendar,7,1,9,9,3.688205847284771,0.31937175271522966,10,0.26,100.0
calendar_157,calendar,7,1,0,0,3.7052041075504527,0.302373492449548,10,0.26,100.0
calendar_157,calendar,7,1,1,0,3.618519198934469,0.38905840106553125,10,0.26,100.0
calendar_157,calendar,7,1,2,0,3.6499537692690835,0.3576238307309169,10,0.26,100.0
calendar_157,calendar,7,1,3,0,3.678967255185769,0.32861034481423185,10,0.26,100.0
calendar_157,calendar,7,1,4,0,3.6493918535287246,0.3581857464712753,10,0.26,100.0
calendar_157,calendar,7,1,5,0,3.616927069865871,0.390650530134129,10,0.26,100.0
calendar_157,calendar,7,1,6,0,3.647388277023197,0.3601893229768042,10,0.26,100.0
calendar_157,calendar,7,1,7,0,3.6334037867139943,0.37417381328600613,10,0.26,100.0
calendar_157,calendar,7,1,8,0,3.636999015458863,0.3705785845411369,10,0.26,100.0
calendar_157,calendar,7,1,9,0,3.71538868241574,0.29218891758425924,10,0.26,100.0
calendar_157,calendar,7,1,0,1,3.6538641446142446,0.35371345538575505,10,0.26,100.0
calendar_157,calendar,7,1,1,1,3.5671008883916846,0.4404767116083145,10,0.26,100.0
calendar_157,calendar,7,1,2,1,3.583732850396995,0.42384474960300544,10,0.26,100.0
calendar_157,calendar,7,1,3,1,3.5865166313750176,0.4210609686249828,10,0.26,100.0
calendar_157,calendar,7,1,4,1,3.5771206365098975,0.43045696349010276,10,0.26,100.0
calendar_157,calendar,7,1,5,1,3.600462522018397,0.407115077981602,10,0.26,100.0
calendar_157,calendar,7,1,6,1,3.5699958130935614,0.4375817869064389,10,0.26,100.0
calendar_157,calendar,7,1,7,1,3.5535416600872556,0.4540359399127458,10,0.26,100.0
calendar_157,calendar,7,1,8,1,3.538278751103145,0.4692988488968537,10,0.26,100.0
calendar_157,calendar,7,1,9,1,3.620532299495275,0.38704530050472485,10,0.26,100.0
calendar_157,calendar,7,1,0,2,3.6507475246550354,0.35683007534496397,10,0.26,100.0
calendar_157,calendar,7,1,1,2,3.5402462416478335,0.46733135835216516,10,0.26,100.0
calendar_157,calendar,7,1,2,2,3.6169890534869933,0.39058854651300784,10,0.26,100.0
calendar_157,calendar,7,1,3,2,3.6162050900659013,0.39137250993409917,10,0.26,100.0
calendar_157,calendar,7,1,4,2,3.5669064419581638,0.44067115804183654,10,0.26,100.0
calendar_157,calendar,7,1,5,2,3.580869394607506,0.42670820539249266,10,0.26,100.0
calendar_157,calendar,7,1,6,2,3.5891111670807954,0.41846643291920593,10,0.26,100.0
calendar_157,calendar,7,1,7,2,3.605382462175557,0.4021951378244414,10,0.26,100.0
calendar_157,calendar,7,1,8,2,3.550495637334703,0.4570819626652971,10,0.26,100.0
calendar_157,calendar,7,1,9,2,3.6556889357002316,0.3518886642997688,10,0.26,100.0
calendar_157,calendar,7,1,0,3,3.647209909808608,0.3603676901913917,10,0.26,100.0
calendar_157,calendar,7,1,1,3,3.563630653117367,0.44394694688263403,10,0.26,100.0
calendar_157,calendar,7,1,2,3,3.6110515956465203,0.3965260043534801,10,0.26,100.0
calendar_157,calendar,7,1,3,3,3.62535856431646,0.38221903568354043,10,0.26,100.0
calendar_157,calendar,7,1,4,3,3.597884176383796,0.4096934236162045,10,0.26,100.0
calendar_157,calendar,7,1,5,3,3.582769120653025,0.42480847934697774,10,0.26,100.0
calendar_157,calendar,7,1,6,3,3.597428340175956,0.41014925982404427,10,0.26,100.0
calendar_157,calendar,7,1,7,3,3.6189953896487737,0.38858221035122753,10,0.26,100.0
calendar_157,calendar,7,1,8,3,3.5858091110995147,0.4217684889004864,10,0.26,100.0
calendar_157,calendar,7,1,9,3,3.6484453480958075,0.3591322519041927,10,0.26,100.0
calendar_157,calendar,7,1,0,4,3.6553075235036734,0.35227007649632625,10,0.26,100.0
calendar_157,calendar,7,1,1,4,3.579471017288371,0.4281065827116295,10,0.26,100.0
calendar_157,calendar,7,1,2,4,3.59560902889759,0.41196857110241086,10,0.26,100.0
calendar_157,calendar,7,1,3,4,3.6113369354235094,0.39624066457649143,10,0.26,100.0
calendar_157,calendar,7,1,4,4,3.6273548947822873,0.3802227052177137,10,0.26,100.0
calendar_157,calendar,7,1,5,4,3.594192258604092,0.4133853413959102,10,0.26,100.0
calendar_157,calendar,7,1,6,4,3.6313070487058035,0.3762705512941957,10,0.26,100.0
calendar_157,calendar,7,1,7,4,3.5853828944055106,0.4221947055944892,10,0.26,100.0
calendar_157,calendar,7,1,8,4,3.6104862683945464,0.39709133160545285,10,0.26,100.0
calendar_157,calendar,7,1,9,4,3.659872174351938,0.347705425648063,10,0.26,100.0
calendar_157,calendar,7,1,0,5,3.6432449054124927,0.3643326945875075,10,0.26,100.0
calendar_157,calendar,7,1,1,5,3.5871144297780853,0.42046317022191376,10,0.26,100.0
calendar_157,calendar,7,1,2,5,3.6400208742495654,0.3675567257504348,10,0.26,100.0
calendar_157,calendar,7,1,3,5,3.614424404528582,0.3931531954714177,10,0.26,100.0
calendar_157,calendar,7,1,4,5,3.6032421455150416,0.40433545448495883,10,0.26,100.0
calendar_157,calendar,7,1,5,5,3.605759350023671,0.40181824997632765,10,0.26,100.0
calendar_157,calendar,7,1,6,5,3.5903956982029888,0.41718190179701203,10,0.26,100.0
calendar_157,calendar,7,1,7,5,3.5967237412844066,0.4108538587155921,10,0.26,100.0
calendar_157,calendar,7,1,8,5,3.5723815966227987,0.43519600337720044,10,0.26,100.0
calendar_157,calendar,7,1,9,5,3.6473069832482476,0.36027061675175276,10,0.26,100.0
calendar_157,calendar,7,1,0,6,3.6452429346034267,0.36233466539657494,10,0.26,100.0
calendar_157,calendar,7,1,1,6,3.56856453751158,0.439013062488422,10,0.26,100.0
calendar_157,calendar,7,1,2,6,3.6214418593718456,0.38613574062815537,10,0.26,100.0
calendar_157,calendar,7,1,3,6,3.6090320671638154,0.3985455328361848,10,0.26,100.0
calendar_157,calendar,7,1,4,6,3.6031276338537666,0.4044499661462325,10,0.26,100.0
calendar_157,calendar,7,1,5,6,3.600436606843557,0.40714099315644375,10,0.26,100.0
calendar_157,calendar,7,1,6,6,3.5985060247966345,0.4090715752033646,10,0.26,100.0
calendar_157,calendar,7,1,7,6,3.5943174163092375,0.4132601836907628,10,0.26,100.0
calendar_157,calendar,7,1,8,6,3.5732749330980087,0.43430266690199204,10,0.26,100.0
calendar_157,calendar,7,1,9,6,3.666287643832427,0.3412899561675717,10,0.26,100.0
calendar_157,calendar,7,1,0,7,3.6730028273344812,0.33457477266551733,10,0.26,100.0
calendar_157,calendar,7,1,1,7,3.5627973427158106,0.4447802572841895,10,0.26,100.0
calendar_157,calendar,7,1,2,7,3.6453542116620823,0.3622233883379187,10,0.26,100.0
calendar_157,calendar,7,1,3,7,3.6257573614695424,0.38182023853045693,10,0.26,100.0
calendar_157,calendar,7,1,4,7,3.5926363701041435,0.4149412298958557,10,0.26,100.0
calendar_157,calendar,7,1,5,7,3.602339617448641,0.40523798255135846,10,0.26,100.0
calendar_157,calendar,7,1,6,7,3.587216436010637,0.42036116398936174,10,0.26,100.0
calendar_157,calendar,7,1,7,7,3.5913601590698354,0.41621744093016516,10,0.26,100.0
calendar_157,calendar,7,1,8,7,3.56399086711074,0.44358673288925865,10,0.26,100.0
calendar_157,calendar,7,1,9,7,3.6151969256067225,0.39238067439327806,10,0.26,100.0
calendar_157,calendar,7,1,0,8,3.63139280671556,0.37618479328444027,10,0.26,100.0
calendar_157,calendar,7,1,1,8,3.563171530428036,0.44440606957196355,10,0.26,100.0
calendar_157,calendar,7,1,2,8,3.5776417988980467,0.4299358011019531,10,0.26,100.0
calendar_157,calendar,7,1,3,8,3.573865006321122,0.43371259367887927,10,0.26,100.0
calendar_157,calendar,7,1,4,8,3.567738746021205,0.4398388539787942,10,0.26,100.0
calendar_157,calendar,7,1,5,8,3.5934253335946362,0.4141522664053641,10,0.26,100.0
calendar_157,calendar,7,1,6,8,3.5723960993823773,0.43518150061762223,10,0.26,100.0
calendar_157,calendar,7,1,7,8,3.525162750915929,0.48241484908407234,10,0.26,100.0
calendar_157,calendar,7,1,8,8,3.518377915807763,0.48919968419223653,10,0.26,100.0
calendar_157,calendar,7,1,9,8,3.608621963982414,0.3989556360175863,10,0.26,100.0
calendar_157,calendar,7,1,0,9,3.7082994658159727,0.29927813418402793,10,0.26,100.0
calendar_157,calendar,7,1,1,9,3.6530529054922476,0.354524694507753,10,0.26,100.0
calendar_157,calendar,7,1,2,9,3.6586513456192455,0.34892625438075436,10,0.26,100.0
calendar_157,calendar,7,1,3,9,3.6447252316775964,0.36285236832240586,10,0.26,100.0
calendar_157,calendar,7,1,4,9,3.663804190336773,0.3437734096632281,10,0.26,100.0
calendar_157,calendar,7,1,5,9,3.635814191955557,0.37176340804444374,10,0.26,100.0
calendar_157,calendar,7,1,6,9,3.6128432632747383,0.3947343367252607,10,0.26,100.0
calendar_157,calendar,7,1,7,9,3.617312185266355,0.3902654147336432,10,0.26,100.0
calendar_157,calendar,7,1,8,9,3.603753022980098,0.4038245770199015,10,0.26,100.0
calendar_157,calendar,7,1,9,9,3.6899631061728195,0.31761449382718093,10,0.26,100.0
calendar_156,calendar,7,1,0,0,3.6763262468361244,0.33125135316387583,10,0.26,100.0
calendar_156,calendar,7,1,1,0,3.606682337414392,0.4008952625856059,10,0.26,100.0
calendar_156,calendar,7,1,2,0,3.6213111088913763,0.3862664911086254,10,0.26,100.0
calendar_156,calendar,7,1,3,0,3.629474416123212,0.37810318387678876,10,0.26,100.0
calendar_156,calendar,7,1,4,0,3.632443250158566,0.3751343498414343,10,0.26,100.0
calendar_156,calendar,7,1,5,0,3.6494566373362103,0.35812096266378907,10,0.26,100.0
calendar_156,calendar,7,1,6,0,3.6581426090216183,0.34943499097838093,10,0.26,100.0
calendar_156,calendar,7,1,7,0,3.662516215975244,0.345061384024756,10,0.26,100.0
calendar_156,calendar,7,1,8,0,3.6199225248404647,0.3876550751595355,10,0.26,100.0
calendar_156,calendar,7,1,9,0,3.707938493601896,0.2996391063981046,10,0.26,100.0
calendar_156,calendar,7,1,0,1,3.6174181907373786,0.3901594092626204,10,0.26,100.0
calendar_156,calendar,7,1,1,1,3.5170842469019092,0.4904933530980909,10,0.26,100.0
calendar_156,calendar,7,1,2,1,3.587312442993619,0.42026515700638045,10,0.26,100.0
calendar_156,calendar,7,1,3,1,3.5410695416738354,0.46650805832616477,10,0.26,100.0
calendar_156,calendar,7,1,4,1,3.548506465111849,0.4590711348881519,10,0.26,100.0
calendar_156,calendar,7,1,5,1,3.5880348248528113,0.41954277514718963,10,0.26,100.0
calendar_156,calendar,7,1,6,1,3.5777953964517564,0.42978220354824415,10,0.26,100.0
calendar_156,calendar,7,1,7,1,3.5831963323168003,0.4243812676831998,10,0.26,100.0
calendar_156,calendar,7,1,8,1,3.582181328003827,0.425396271996173,10,0.26,100.0
calendar_156,calendar,7,1,9,1,3.6272315842485363,0.3803460157514652,10,0.26,100.0
calendar_156,calendar,7,1,0,2,3.6128550162450104,0.39472258375499036,10,0.26,100.0
calendar_156,calendar,7,1,1,2,3.561369651338112,0.4462079486618876,10,0.26,100.0
calendar_156,calendar,7,1,2,2,3.5741050406531993,0.4334725593468003,10,0.26,100.0
calendar_156,calendar,7,1,3,2,3.614584292433812,0.3929933075661883,10,0.26,100.0
calendar_156,calendar,7,1,4,2,3.5736490718488967,0.4339285281511029,10,0.26,100.0
calendar_156,calendar,7,1,5,2,3.5863341610651265,0.4212434389348738,10,0.26,100.0
