run_id,plot_strategy,plot_pesticide,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
threshold_1,calendar,etofenprox,1,3,1,3.170271263884398,0.8373063361156027,5,0.0525,110.6
threshold_1,calendar,neonicotinoid,1,4,1,3.1787369654070092,0.8288406345929923,5,0.0875,100.0
threshold_1,threshold,etofenprox,1,5,1,3.322656080335928,0.6849215196640728,10,0.195,110.6
threshold_1,threshold,etofenprox,1,6,1,3.2988991414060895,0.7086784585939115,10,0.195,110.6
threshold_1,calendar,neonicotinoid,1,7,1,2.998492558402173,1.0090850415978274,5,0.0875,100.0
threshold_1,threshold,neonicotinoid,1,8,1,3.0045407355025553,1.0030368644974441,10,0.32499999999999996,100.0
threshold_1,threshold,neonicotinoid,1,9,1,3.159888052319439,0.8476895476805609,10,0.32499999999999996,100.0
threshold_1,threshold,neonicotinoid,1,0,2,3.5127491371460433,0.4948284628539549,8,0.19999999999999998,100.0
threshold_1,threshold,neonicotinoid,1,1,2,3.3963014201395407,0.6112761798604582,10,0.32499999999999996,100.0
threshold_1,calendar,neonicotinoid,1,2,2,3.2455614364489307,0.7620161635510703,5,0.0875,100.0
threshold_1,calendar,neonicotinoid,1,3,2,3.2505691166507353,0.757008483349265,5,0.0875,100.0
threshold_1,calendar,etofenprox,1,4,2,3.0984880219765003,0.9090895780234998,5,0.0525,110.6
threshold_1,none,etofenprox,1,5,2,2.716920272041341,1.2906573279586584,0,0.0,110.6
threshold_1,calendar,etofenprox,1,6,2,3.087873320264369,0.9197042797356307,5,0.0525,110.6
threshold_1,calendar,neonicotinoid,1,7,2,3.069151681976564,0.9384259180234363,5,0.0875,100.0
threshold_1,none,neonicotinoid,1,8,2,2.459941420879285,1.5476361791207156,0,0.0,100.0
threshold_1,calendar,etofenprox,1,9,2,3.167501889944217,0.8400757100557817,5,0.0525,110.6
threshold_1,threshold,etofenprox,1,0,3,3.4257145659718953,0.5818630340281051,9,0.1575,110.6
threshold_1,calendar,etofenprox,1,1,3,3.0388879607556833,0.9686896392443175,5,0.0525,110.6
threshold_1,threshold,etofenprox,1,2,3,3.305480078127488,0.7020975218725115,10,0.195,110.6
threshold_1,calendar,etofenprox,1,3,3,3.1517039523552968,0.8558736476447032,5,0.0525,110.6
