run_id,strategy,calendar_interval,season,grain_tha,pest_loss_tha,spray_count,end_money
calendar_21,calendar,7,2,3.5092805361108037,0.4982970638891977,10,24093.624622480605
calendar_22,calendar,7,3,3.5392219596750283,0.46835564032496857,10,33925.04411271693
calendar_23,calendar,7,3,3.4513792099810674,0.556198390018933,10,33594.32957398033
calendar_20,calendar,7,3,3.498946823655968,0.508630776344032,10,33834.664596300994
calendar_21,calendar,7,3,3.493226199268562,0.5143514007314365,10,33573.303220286296
calendar_26,calendar,7,1,3.457881036220359,0.5496965637796405,10,14373.643108661077
calendar_27,calendar,7,1,3.4753443397582515,0.5322332602417464,10,14426.033019274755
calendar_24,calendar,7,1,3.5505408451839053,0.4570367548160944,10,14651.622535551716
calendar_25,calendar,7,1,3.543447503562872,0.4641300964371297,10,14630.342510688615
calendar_26,calendar,7,2,3.473016220176209,0.5345613798237911,10,23792.691769189703
calendar_27,calendar,7,2,3.516348146232412,0.49122945376758836,10,23975.07745797199
calendar_24,calendar,7,2,3.5232032983874797,0.48437430161252104,10,24221.232430714153
calendar_25,calendar,7,2,3.5408607076798617,0.46671689232013974,10,24252.924633728202
calendar_26,calendar,7,3,3.5153281077093683,0.4922494922906303,10,33338.67609231781
calendar_27,calendar,7,3,3.6193830457801695,0.388194554219828,10,33833.2265953125
calendar_24,calendar,7,3,3.5364054334046062,0.47117216659539374,10,33830.44873092797
calendar_25,calendar,7,3,3.5419859924508006,0.4655916075491996,10,33878.882611080604
calendar_30,calendar,7,1,3.5359619372250513,0.47161566277494865,10,14607.885811675154
calendar_31,calendar,7,1,3.5691909122623127,0.4383866877376865,10,14707.572736786939
calendar_28,calendar,7,1,3.5462655767325355,0.4613120232674638,10,14638.796730197606
calendar_29,calendar,7,1,3.524576762292483,0.4830008377075164,10,14573.73028687745
calendar_30,calendar,7,2,3.459548113377942,0.5480294866220585,10,23986.53015180898
calendar_31,calendar,7,2,3.595882248788905,0.4116953512110942,10,24495.219483153654
calendar_28,calendar,7,2,3.560335585119355,0.44724201488064685,10,24319.80348555567
calendar_29,calendar,7,2,3.500404761685706,0.5071728383142923,10,24074.944571934568
calendar_30,calendar,7,3,3.5470377027746283,0.46053989722537025,10,33627.64326013286
calendar_31,calendar,7,3,3.5355350900613973,0.4720425099386026,10,34101.824753337845
calendar_28,calendar,7,3,3.474897803236512,0.5326797967634888,10,33744.496895265205
calendar_29,calendar,7,3,3.5293074461383633,0.4782701538616369,10,33662.86691034966
calendar_34,calendar,7,1,3.4902383345118477,0.5173392654881527,10,14470.715003535543
calendar_35,calendar,7,1,3.4562222459966154,0.5513553540033843,10,14368.666737989846
calendar_32,calendar,7,1,3.5497434862781674,0.45783411372183247,10,14649.230458834501
calendar_33,calendar,7,1,3.541261380907013,0.4663162190929871,10,14623.784142721039
calendar_34,calendar,7,2,3.49735160411475,0.5102259958852499,10,23962.769815879794
calendar_35,calendar,7,2,3.509478667466853,0.4980989325331473,10,23897.102740390405
calendar_32,calendar,7,2,3.4879260832547305,0.5196515167452685,10,24113.008708598692
calendar_33,calendar,7,2,3.5135354378272634,0.49404216217273783,10,24164.39045620283
calendar_34,calendar,7,3,3.558898864302016,0.4486787356979835,10,33639.46640878584
calendar_35,calendar,7,3,3.5166787847416567,0.4908988152583434,10,33447.13909461538
calendar_32,calendar,7,3,3.524433553307682,0.4831440466923163,10,33686.30936852174
calendar_33,calendar,7,3,3.597591383794697,0.4099862162053019,10,33957.16460758692
