run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money
calendar_51,calendar,1,2.960306316500499,1.047271283499502,5,13380.918949501496
calendar_48,calendar,1,3.010404185452437,0.9971734145475644,5,13531.21255635731
calendar_49,calendar,1,3.010371048093411,0.9972065519065899,5,13531.113144280234
calendar_50,calendar,2,3.0897680016263536,0.9178095983736456,5,22266.889842751883
calendar_51,calendar,2,3.0124523362042153,0.9951252637957848,5,21918.275958114144
calendar_48,calendar,2,3.028328009568124,0.9792495904318754,5,22116.196585061683
calendar_49,calendar,2,2.850274774876226,1.157302825123775,5,21581.937468908913
calendar_50,calendar,3,2.951029755273757,1.0565478447262429,5,30619.979108573156
calendar_51,calendar,3,3.048714660971278,0.9588629390287221,5,30564.419941027976
calendar_48,calendar,3,2.949050375618024,1.0585272243819766,5,30463.347711915754
calendar_49,calendar,3,2.9544699635492964,1.053107636450704,5,29945.3473595568
calendar_54,calendar,1,2.9531472629229047,1.0544303370770964,5,13359.441788768714
calendar_55,calendar,1,3.0008723205874976,1.0067052794125035,5,13502.616961762493
calendar_52,calendar,1,3.0662270335916384,0.9413505664083621,5,13698.681100774915
calendar_53,calendar,1,2.986257259793965,1.0213203402060334,5,13458.771779381896
calendar_54,calendar,2,3.050378422666583,0.9571991773334165,5,22010.577056768463
calendar_55,calendar,2,3.0167025608529014,0.9908750391470981,5,22052.7246443212
calendar_52,calendar,2,2.893191030855943,1.114386569144057,5,21878.254193342742
calendar_53,calendar,2,3.047449548685065,0.9601280513149351,5,22101.12042543709
calendar_54,calendar,3,3.1356220988088626,0.8719555011911376,5,30917.44335319505
calendar_55,calendar,3,3.144818971714693,0.8627586282853063,5,30987.18155946528
calendar_52,calendar,3,3.0338950493825956,0.9736825506174043,5,30479.939341490528
calendar_53,calendar,3,2.9490315827741336,1.0585460172258665,5,30448.21517375949
calendar_58,calendar,1,3.1190456148669914,0.888531985133008,5,13857.136844600975
calendar_59,calendar,1,2.9692050999995763,1.0383725000004247,5,13407.615299998728
calendar_56,calendar,1,2.8723194333451354,1.1352581666548636,5,13116.958300035407
calendar_57,calendar,1,2.946148009310137,1.061429590689862,5,13338.44402793041
calendar_58,calendar,2,3.0721760578599753,0.9354015421400252,5,22573.665018180902
calendar_59,calendar,2,3.1226469722358456,0.8849306277641548,5,22275.556216706267
calendar_56,calendar,2,3.041089665151323,0.9664879348486791,5,21740.227295489378
calendar_57,calendar,2,3.2067481994750704,0.800829400524929,5,22458.688626355623
calendar_58,calendar,3,3.0506618354413058,0.9569157645586939,5,31225.650524504817
calendar_59,calendar,3,2.95634052754636,1.0512370724536395,5,30644.577799345345
calendar_56,calendar,3,2.8899782181627836,1.1175993818372174,5,29910.16194997773
calendar_57,calendar,3,3.0131586212729644,0.9944189787270348,5,30998.164490174517
calendar_62,calendar,1,3.0207486938862353,0.9868289061137651,5,13562.246081658706
calendar_63,calendar,1,3.03105049261269,0.9765271073873085,5,13593.151477838072
calendar_60,calendar,1,2.930195078225101,1.0773825217748982,5,13290.585234675304
calendar_61,calendar,1,3.0167890450570174,0.9907885549429831,5,13550.367135171053
calendar_62,calendar,2,3.259445179844101,0.7481324201558962,5,22840.58162119101
calendar_63,calendar,2,2.945962675898106,1.061614924101895,5,21931.03950553239
calendar_60,calendar,2,3.019755994445269,0.987821605554732,5,21849.85321801111
calendar_61,calendar,2,2.9746811997729266,1.0328964002270729,5,21974.410734489833
calendar_62,calendar,3,3.052051105849339,0.9555264941506617,5,31496.734938739028
calendar_63,calendar,3,3.031821771932176,0.9757558280678242,5,30526.50482132892
calendar_60,calendar,3,2.9808614853865523,1.0267161146134476,5,30292.437674170767
calendar_61,calendar,3,3.0329491112454,0.9746284887546002,5,30573.25806822603
calendar_66,calendar,1,2.938742885592426,1.0688347144075732,5,13316.228656777279
calendar_67,calendar,1,3.053200374025039,0.9543772259749599,5,13659.601122075117
calendar_64,calendar,1,2.922278674714537,1.0852989252854641,5,13266.836024143611
calendar_65,calendar,1,3.053049143939523,0.954528456060479,5,13659.14743181857
calendar_66,calendar,2,3.0239822894162542,0.9835953105837457,5,21888.17552502604
calendar_67,calendar,2,3.151363604743858,0.85621399525614,5,22613.69193630669
calendar_64,calendar,2,3.0584621359480777,0.9491154640519238,5,21942.222431987844
calendar_65,calendar,2,3.0736207178230472,0.9339568821769547,5,22380.009585287713
calendar_66,calendar,3,3.0856374175034644,0.9219401824965341,5,30645.087777536435
calendar_67,calendar,3,3.0812457756773632,0.9263318243226354,5,31357.42926333878
calendar_64,calendar,3,2.905235700404376,1.1023418995956242,5,30157.92953320097
calendar_65,calendar,3,3.0273657416952933,0.9802118583047075,5,30962.106810373592
calendar_70,calendar,1,3.074884500459565,0.9326930995404331,5,13724.653501378694
calendar_71,calendar,1,2.917036224265877,1.090541375734124,5,13251.10867279763
calendar_68,calendar,1,3.1710464549236073,0.8365311450763915,5,14013.139364770821
calendar_69,calendar,1,3.1103045536242035,0.8972730463757961,5,13830.913660872611
calendar_70,calendar,2,3.011334611072651,0.9962429889273504,5,22258.657334596646
calendar_71,calendar,2,3.1482488258669856,0.8593287741330159,5,22195.855150398587
calendar_68,calendar,2,2.9583263037871284,1.0492512962128724,5,22388.118276132205
calendar_69,calendar,2,3.042293001764463,0.9652845982355354,5,22457.792666166002
calendar_70,calendar,3,3.0830721589280223,0.9245054410719786,5,31007.873811380712
calendar_71,calendar,3,3.092413061608411,0.9151645383915896,5,30973.094335223817
calendar_68,calendar,3,3.028057130741122,0.9795204692588779,5,30972.289668355574
calendar_69,calendar,3,2.991870137217693,1.0157074627823064,5,30933.40307781908
calendar_74,calendar,1,3.019697482785903,0.9878801172140963,5,13559.09244835771
calendar_75,calendar,1,2.91122586927726,1.0963517307227393,5,13233.67760783178
calendar_72,calendar,1,2.942185846635717,1.0653917533642845,5,13326.557539907151
calendar_73,calendar,1,3.0171032338341757,0.9904743661658256,5,13551.309701502527
calendar_74,calendar,2,2.9712811839722537,1.036296416027747,5,21972.936000274472
calendar_75,calendar,2,3.0013522749101385,1.0062253250898616,5,21737.734432562196
calendar_72,calendar,2,3.1721952710423778,0.8353823289576232,5,22343.143353034284
calendar_73,calendar,2,3.204989276244131,0.8025883237558693,5,22666.27753023492
calendar_74,calendar,3,2.9041157889811116,1.1034618110188879,5,30185.28336721781
calendar_75,calendar,3,3.0585940532391054,0.9489835467608956,5,30413.516592279513
calendar_72,calendar,3,3.0121353031482414,0.9954422968517598,5,30879.549262479006
calendar_73,calendar,3,3.024502244858724,0.9830753551412771,5,31239.78426481109
calendar_78,calendar,1,2.9635907118276306,1.0439868881723688,5,13390.772135482892
calendar_79,calendar,1,3.0571550992987766,0.9504225007012241,5,13671.46529789633
calendar_76,calendar,1,2.9242842073011857,1.0832933926988144,5,13272.852621903558
calendar_77,calendar,1,3.0476586577600546,0.9599189422399446,5,13642.975973280163
calendar_78,calendar,2,2.9240030397879213,1.0835745602120792,5,21662.781254846654
calendar_79,calendar,2,3.11880012847515,0.8887774715248502,5,22527.86568332178
calendar_76,calendar,2,3.0756555314105265,0.9319220685894736,5,21999.819216135136
calendar_77,calendar,2,2.9905649624660984,1.0170126375339015,5,22114.67086067846
calendar_78,calendar,3,2.9913752923257317,1.0162023076742681,5,30136.90713182385
calendar_79,calendar,3,3.1212651026238807,0.8863124973761192,5,31391.66099119342
calendar_76,calendar,3,2.996442019699237,1.0111355803007624,5,30489.145275232848
calendar_77,calendar,3,2.9413457731374457,1.066231826862554,5,30438.708180090798
threshold_82,threshold,1,3.3983846328105574,0.6091929671894439,8,14395.153898431672
threshold_83,threshold,1,3.39873297906503,0.6088446209349713,7,14496.19893719509
threshold_80,threshold,1,3.3750832823993124,0.632494317600688,8,14325.249847197938
threshold_81,threshold,1,3.392618025072477,0.6149595749275245,8,14377.854075217432
threshold_82,threshold,2,3.4127412298584225,0.5948363701415789,8,23833.37758800694
threshold_83,threshold,2,3.3844773223318065,0.6231002776681948,8,23849.63090419051
threshold_80,threshold,2,3.439461441056833,0.5681161589431677,7,23943.634170368437
threshold_81,threshold,2,3.4016288891247735,0.605948710875228,8,23782.74074259175
threshold_82,threshold,3,3.376130325409462,0.6314472745905397,8,33161.768564235324
threshold_83,threshold,3,3.390479517581736,0.6170980824182626,7,33321.06945693572
threshold_80,threshold,3,3.382044736374616,0.6255328636253846,8,33289.768379492285
threshold_81,threshold,3,3.4079515440521635,0.5996260559478365,7,33306.59537474824
threshold_86,threshold,1,3.387029181492579,0.6205484185074225,7,14461.087544477736
threshold_87,threshold,1,3.3808093561190486,0.6267682438809523,8,14342.428068357145
threshold_84,threshold,1,3.3788401128008347,0.6287374871991659,8,14336.520338402504
threshold_85,threshold,1,3.40412191437302,0.6034556856269804,8,14412.36574311906
threshold_86,threshold,2,3.37561384742438,0.6319637525756204,8,23787.929086750875
threshold_87,threshold,2,3.3795211507646883,0.6280564492353126,8,23680.99152065121
threshold_84,threshold,2,3.4071922457184023,0.600385354281598,7,23858.09707555771
threshold_85,threshold,2,3.382990157069612,0.6245874429303884,8,23761.336214327894
threshold_86,threshold,3,3.381346445733109,0.6262311542668926,8,33131.9684239502
threshold_87,threshold,3,3.402024594442336,0.6055530055576654,7,33187.06530397822
threshold_84,threshold,3,3.4303333270565735,0.5772442729434268,8,33349.097056727434
threshold_85,threshold,3,3.3915783347179302,0.6159992652820702,8,33136.07121848168
threshold_90,threshold,1,3.400419489288405,0.607158110711596,7,14501.258467865217
threshold_91,threshold,1,3.3837061238404487,0.6238714761595516,8,14351.118371521346
threshold_88,threshold,1,3.3833235265025237,0.6242540734974771,9,14249.970579507572
threshold_89,threshold,1,3.409332271898326,0.5982453281016745,7,14527.996815694978
threshold_90,threshold,2,3.408156505007401,0.5994210949925997,8,23925.72798288742
threshold_91,threshold,2,3.3854124264183163,0.6221651735816852,8,23707.355650776295
threshold_88,threshold,2,3.384441636811652,0.6231359631883485,8,23603.295489942528
threshold_89,threshold,2,3.3804682127831747,0.6271093872168266,8,23869.401454044502
threshold_90,threshold,3,3.3927608810941456,0.6148167189058554,8,33304.01062616985
threshold_91,threshold,3,3.3610978759780545,0.6464797240219455,9,32890.64927871046
threshold_88,threshold,3,3.384300844581677,0.6232767554183245,8,32956.19802368756
threshold_89,threshold,3,3.393758172413257,0.6138194275867439,7,33350.675971284276
threshold_94,threshold,1,3.3691036396586083,0.6384739603413919,9,14207.310918975825
threshold_95,threshold,1,3.405605458125385,0.6019721418746153,8,14416.816374376156
