cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass,cumulative_pest_exposure,days_above_threshold
102,2,calendar,0.3935230614889712,0.6458292446599259,1,12,178.8050317323731,6.062369856432027,9
103,2,calendar,0.43652427639444386,0.6071281512450005,1,13,184.68008942634071,6.498894132826471,10
104,2,calendar,0.43652427639444386,0.6071281512450005,1,14,190.55514712030833,6.935418409220914,11
105,2,calendar,0.12018923308759268,0.8918296902211666,2,1,199.18520466664052,7.055607642308507,11
106,2,calendar,0.15416004497034058,0.8612559595266935,2,2,207.51940633578843,7.209767687278847,11
107,2,calendar,0.1892531845360707,0.8296721339175364,2,3,215.54797764128165,7.399020871814918,11
108,2,calendar,0.1892531845360707,0.8296721339175364,2,4,223.57654894677486,7.588274056350989,11
109,2,calendar,0.1892531845360707,0.8296721339175364,2,5,231.60512025226808,7.77752724088706,11
110,2,calendar,0.22550573124677342,0.7970448418779039,2,6,239.31796377815218,8.003032972133834,11
111,2,calendar,0.2629559895957044,0.763339609363866,2,7,246.70464851004442,8.265988961729539,11
112,2,calendar,0.3016435295799672,0.7285208233780295,2,8,253.75439881370895,8.567632491309507,12
113,2,calendar,0.3416092285102302,0.6925516943407928,2,9,260.45608304950593,8.909241719819736,13
114,2,calendar,0.38289531420175116,0.655394217218424,2,10,266.79820181068516,9.292137034021486,14
115,2,calendar,0.38289531420175116,0.655394217218424,2,11,273.1403205718644,9.675032348223237,15
116,2,calendar,0.42554540959234866,0.6170091313668862,2,12,279.11099453427545,10.100577757815586,16
117,2,calendar,0.4696045788344607,0.5773558790489853,2,13,284.6979519046567,10.570182336650046,17
118,2,calendar,0.5151193749099937,0.5363925625810056,2,14,289.8885154542406,11.085301711560039,18
119,2,calendar,0.136427577763654,0.8772151800127114,3,1,298.3771513081876,11.221729289323692,18
120,2,calendar,0.1709348720778096,0.8461586151299714,3,2,306.5652589950773,11.392664161401502,18
121,2,calendar,0.20658221838151627,0.8140760034566353,3,3,314.44290966532645,11.599246379783018,18
122,2,calendar,0.2434072817124048,0.7809334464588357,3,4,321.9998464400193,11.842653661495422,18
123,2,calendar,0.28144897148561926,0.7466959256629426,3,5,329.2254735734745,12.124102632981042,18
124,2,calendar,0.32074748260556113,0.7113272656549949,3,6,336.10884525776476,12.444850115586604,19
125,2,calendar,0.3613443379358836,0.6747900958577047,3,7,342.6386540573606,12.806194453522487,20
126,2,calendar,0.40328243217260934,0.6370458110446515,3,8,348.8032189616775,13.209476885695096,21
127,2,calendar,0.44660607716672795,0.5980545305499448,3,9,354.59047304290317,13.656082962861824,22
128,2,calendar,0.49136104874416237,0.6560472658790863,3,10,362.75275070606443,14.147444011605986,23
129,2,calendar,0.49136104874416237,0.6560472658790863,3,11,370.9150283692257,14.638805060350148,24
130,2,calendar,0.537594635072572,0.6236837554491996,3,12,378.67465218102245,15.17639969542272,25
131,2,calendar,0.5853556866260996,0.5902510193617303,3,13,386.0183192635134,15.76175538204882,26
132,2,calendar,0.6346946678008527,0.5557137325394031,3,14,392.9322872382756,16.396450049849673,27
133,2,calendar,0.12693893356017052,0.9111427465078806,4,1,404.26836083322803,16.523388983409845,27
134,2,calendar,0.16113274204713143,0.887207080567008,4,2,415.3066364468105,16.684521725456975,27
135,2,calendar,0.16113274204713143,0.887207080567008,4,3,426.34491206039297,16.845654467504104,27
136,2,calendar,0.16113274204713143,0.887207080567008,4,4,437.38318767397544,17.006787209551234,27
137,2,calendar,0.19645624557888455,0.8624806280947808,4,5,448.1138266564795,17.203243455130117,27
138,2,calendar,0.23294676702031974,0.8369372630857762,4,6,458.52666530888746,17.436190222150437,27
139,2,calendar,0.27064286230913703,0.810549996383604,4,7,468.6112041438937,17.706833084459575,27
140,2,calendar,0.3095843611941063,0.7832909471641256,4,8,478.35659679213086,18.01641744565368,28
141,2,calendar,0.3498124093192372,0.755131313476534,4,9,487.7516385418805,18.366229854972918,29
142,2,calendar,0.3913695116983262,0.7260413418111717,4,10,496.78475450015833,18.757599366671244,30
143,2,calendar,0.43429957762581545,0.6959902956619293,4,11,505.4439873626658,19.19189894429706,31
144,2,calendar,0.4786479670714171,0.6649464230500081,4,12,513.7169847796847,19.670546911368476,32
145,2,calendar,0.4786479670714171,0.6649464230500081,4,13,521.9899821967036,20.149194878439893,33
146,2,calendar,0.5244615386075226,0.6328769229747342,4,14,529.8639837215861,20.673656417047415,34
147,2,calendar,0.1383577397840076,0.9031495821511947,5,1,541.1006095628784,20.812014156831424,34
148,2,calendar,0.1383577397840076,0.9031495821511947,5,2,552.3372354041707,20.950371896615433,34
149,2,calendar,0.1383577397840076,0.9031495821511947,5,3,563.5738612454629,21.088729636399442,34
150,2,calendar,0.17292880279099163,0.8789498380463059,5,4,574.5094035504999,21.261658439190434,34
151,2,calendar,0.17292880279099163,0.9308284788836033,5,5,585.4470105087738,21.434587241981426,34
153,3,calendar,0.03,0.994,0,1,2.7482112,0.03,0
154,3,calendar,0.06099114,0.987801772,0,2,5.4792855392256,0.09099114,0
155,3,calendar,0.09300616528332,0.981398766943336,0,3,8.192656850070536,0.18399730528331998,0
156,3,calendar,0.12607890297195032,0.8865289873252447,0,4,16.771420554619464,0.31007620825527027,0
157,3,calendar,0.16024429776833762,0.8557801320084961,0,5,25.05263373603928,0.47032050602360786,0
158,3,calendar,0.19553844887800795,0.8240153960097929,0,6,33.02646592014684,0.6658589549016158,0
159,3,calendar,0.23199864815203958,0.7912012166631643,0,7,40.68276185355295,0.8978576030536554,0
160,3,calendar,0.26966341948968664,0.757302922459282,0,8,48.011030773606926,1.1675210225433421,0
161,3,calendar,0.30857255954278695,0.7222846964114917,0,9,55.00043532384165,1.4760935820861292,1
162,3,calendar,0.30857255954278695,0.7222846964114917,0,10,61.989839874076374,1.7846661416289162,2
163,3,calendar,0.3487671797649616,0.6861095382115345,0,11,68.62918465344175,2.133433321393878,3
164,3,calendar,0.39028974985003634,0.6487392251349673,0,12,74.90690438722781,2.5237230712439143,4
165,3,calendar,0.4331841426055818,0.6101342716549764,0,13,80.81105170717869,2.956907213849496,5
166,3,calendar,0.47749568030898504,0.5702538877219134,0,14,86.3292845278861,3.434402894158481,6
167,3,calendar,0.09549913606179698,0.9140507775443827,1,1,95.17437109202758,3.529902030220278,6
168,3,calendar,0.09549913606179698,0.9140507775443827,1,2,104.01945765616907,3.6254011662820753,6
169,3,calendar,0.09549913606179698,0.9140507775443827,1,3,112.86454422031055,3.7209003023438725,6
170,3,calendar,0.09549913606179698,0.9140507775443827,1,4,121.70963078445203,3.8163994384056696,6
171,3,calendar,0.12865423651900662,0.884211187132894,1,5,130.2659656000996,3.9450536749246763,6
172,3,calendar,0.16290471518512156,0.8533857563333906,1,6,138.52400888698656,4.107958390109798,6
173,3,calendar,0.1982867611654076,0.8215419149511332,1,7,146.47390568958568,4.306245151275205,6
174,3,calendar,0.1982867611654076,0.8215419149511332,1,8,154.4238024921848,4.504531912440613,6
175,3,calendar,0.23483775918079033,0.7886460167372887,1,9,162.05537226694818,4.739369671621403,6
176,3,calendar,0.27259632906860526,0.7546633038382553,1,10,169.3580981255302,5.011966000690008,6
177,3,calendar,0.3116023665883738,0.7195578700704636,1,11,176.32111572262806,5.323568367278382,7
178,3,calendar,0.3518970855757205,0.6832926229818514,1,12,182.93320177669884,5.675465452854103,8
179,3,calendar,0.3935230614889712,0.6458292446599259,1,13,189.182762211424,6.068988514343074,9
180,3,calendar,0.3935230614889712,0.6458292446599259,1,14,195.43232264614917,6.462511575832045,10
181,3,calendar,0.11130485527888875,0.8998256302490001,2,1,204.1397553049427,6.573816431110934,10
182,3,calendar,0.1449821450875927,0.8695160694211665,2,2,212.55388840551745,6.718798576198527,10
183,3,calendar,0.17977206519699657,0.8382051413227031,2,3,220.665031917069,6.898570641395524,10
184,3,calendar,0.21571137468697493,0.8058597627817226,2,4,228.46317566955517,7.114282016082498,10
185,3,calendar,0.21571137468697493,0.8058597627817226,2,5,236.26131942204134,7.329993390769473,10
186,3,calendar,0.2528380470838832,0.7724457576245052,2,6,243.73612252942215,7.582831437853356,10
187,3,calendar,0.2911913104834405,0.7379278205649036,2,7,250.8769024634646,7.874022748336796,10
188,3,calendar,0.33081168899919244,0.7022694799007267,2,8,257.67262376656794,8.204834437335988,11
189,3,calendar,0.3717410455803478,0.6654330589776869,2,9,264.11188639168324,8.576575482916336,12
190,3,calendar,0.41402262624423136,0.6273796363801918,2,10,270.1829136570071,8.990598109160567,13
191,3,calendar,0.4577011057700883,0.5880690048069205,2,11,275.8735398027227,9.448299214930655,14
192,3,calendar,0.5028226349025204,0.5474596285877316,2,12,281.17119713664044,9.951121849833175,15
193,3,calendar,0.54943488911443,0.505508599797013,2,13,286.0629027551562,10.500556738947605,16
194,3,calendar,0.5975871189809925,0.5,2,14,290.90130275515617,11.098143857928598,17
195,3,calendar,0.15346604044357728,0.8618805636007805,3,1,299.2415485930082,11.251609898372175,17
196,3,calendar,0.1885362514877522,0.830317373661023,3,2,307.27636375445115,11.440146149859928,17
197,3,calendar,0.22476511216440453,0.7977113990520359,3,3,314.9956574207979,11.664911262024333,17
