Parameter Sweep,Strategy,Season,Spray Day (Cycle),Pest Load Before,Pest Load After,Cumulative Sprays
inc10,threshold,3,223,0.746,0.149,10
rue064,threshold,1,8,0.5,0.2,1
rue064,threshold,1,15,0.6,0.22,2
rue064,threshold,1,22,0.72,0.144,3
rue064,threshold,1,29,0.744,0.249,4
rue064,threshold,1,36,0.849,0.27,5
rue064,threshold,1,43,0.67,0.134,6
rue064,threshold,1,50,0.534,0.207,7
rue064,threshold,1,57,0.807,0.261,8
rue064,threshold,1,64,0.761,0.252,9
rue064,threshold,1,71,0.652,0.23,10
rue064,threshold,2,84,0.5,0.2,1
rue064,threshold,2,91,0.6,0.22,2
rue064,threshold,2,98,0.82,0.264,3
rue064,threshold,2,105,0.764,0.153,4
rue064,threshold,2,112,0.653,0.231,5
rue064,threshold,2,119,0.731,0.246,6
rue064,threshold,2,126,0.746,0.149,7
rue064,threshold,2,133,0.749,0.25,8
rue064,threshold,2,140,0.85,0.27,9
rue064,threshold,2,147,0.77,0.254,10
rue064,threshold,3,160,0.5,0.1,1
rue064,threshold,3,167,0.6,0.22,2
rue064,threshold,3,174,0.82,0.264,3
rue064,threshold,3,181,0.664,0.233,4
rue064,threshold,3,188,0.833,0.267,5
rue064,threshold,3,195,0.467,0.193,6
rue064,threshold,3,202,0.693,0.239,7
rue064,threshold,3,209,0.639,0.228,8
rue064,threshold,3,216,0.728,0.246,9
rue064,threshold,3,223,0.746,0.249,10
rue12,threshold,1,8,0.6,0.22,1
rue12,threshold,1,15,0.82,0.264,2
rue12,threshold,1,22,0.764,0.253,3
rue12,threshold,1,29,0.853,0.271,4
rue12,threshold,1,36,0.771,0.254,5
rue12,threshold,1,43,0.854,0.271,6
rue12,threshold,1,50,0.771,0.254,7
rue12,threshold,1,57,0.754,0.251,8
rue12,threshold,1,64,0.751,0.25,9
rue12,threshold,1,71,0.75,0.25,10
rue12,threshold,2,84,0.4,0.18,1
rue12,threshold,2,91,0.68,0.136,2
rue12,threshold,2,98,0.636,0.227,3
rue12,threshold,2,105,0.727,0.245,4
rue12,threshold,2,112,0.745,0.249,5
rue12,threshold,2,119,0.649,0.23,6
rue12,threshold,2,126,0.63,0.126,7
rue12,threshold,2,133,0.326,0.065,8
rue12,threshold,2,140,0.565,0.213,9
rue12,threshold,2,147,0.713,0.243,10
rue12,threshold,3,160,0.7,0.24,1
rue12,threshold,3,167,0.74,0.248,2
rue12,threshold,3,174,0.548,0.11,3
rue12,threshold,3,181,0.61,0.222,4
rue12,threshold,3,188,0.722,0.244,5
rue12,threshold,3,195,0.644,0.229,6
rue12,threshold,3,202,0.629,0.126,7
rue12,threshold,3,209,0.626,0.225,8
rue12,threshold,3,216,0.725,0.245,9
rue12,threshold,3,223,0.545,0.109,10
thresh02,threshold,1,8,0.6,0.22,1
thresh02,threshold,1,15,0.42,0.084,2
thresh02,threshold,1,22,0.484,0.097,3
thresh02,threshold,1,29,0.697,0.239,4
thresh02,threshold,1,36,0.739,0.248,5
thresh02,threshold,1,43,0.648,0.23,6
thresh02,threshold,1,50,0.83,0.266,7
thresh02,threshold,1,57,0.666,0.133,8
thresh02,threshold,1,64,0.633,0.227,9
thresh02,threshold,1,71,0.627,0.225,10
thresh02,threshold,2,84,0.7,0.14,1
