run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_20,none,3,2.195122701928244,1.8124548980717572,0,24956.983590652893,100.0
none_27,none,1,2.2396825367562827,1.7678950632437183,0,11719.047610268848,100.0
none_26,none,1,2.1817235261816963,1.8258540738183053,0,11545.170578545089,100.0
none_25,none,1,2.2334597208738725,1.774117879126128,0,11700.379162621617,100.0
none_24,none,1,2.261199072025459,1.7463785279745414,0,11783.597216076378,100.0
none_27,none,2,2.1637135383549055,1.8438640616450956,0,18210.188225333564,100.0
none_26,none,2,2.1925013719232864,1.8150762280767148,0,18122.67469431495,100.0
none_25,none,2,2.1582506825863126,1.849326917413689,0,18175.131210380554,100.0
none_24,none,2,2.191313915592898,1.8162636844071032,0,18357.538962855073,100.0
none_27,none,3,2.177347832140149,1.830229767859852,0,24742.23172175401,100.0
none_26,none,3,2.2044741056007737,1.803103494399227,0,24736.09701111727,100.0
none_25,none,3,2.234890542101436,1.7726870578985652,0,24879.80283668486,100.0
none_24,none,3,2.195665570545818,1.8119120294541826,0,24944.535674492527,100.0
none_31,none,1,2.2068337174500345,1.8007438825499664,0,11620.501152350103,100.0
none_30,none,1,2.19646412053831,1.811113479461691,0,11589.39236161493,100.0
none_29,none,1,2.2590557894125327,1.7485218105874676,0,11777.167368237599,100.0
none_28,none,1,2.1943486532797802,1.8132289467202205,0,11583.04595983934,100.0
none_31,none,2,2.194378867895008,1.8131987321049932,0,18203.637756035125,100.0
none_30,none,2,2.178033761366708,1.8295438386332934,0,18123.493645715054,100.0
none_29,none,2,2.2189686867053258,1.7886089132946752,0,18434.073428353575,100.0
none_28,none,2,2.1793595323543586,1.8282180676456425,0,18121.124556902418,100.0
none_31,none,3,2.170605597995663,1.8369720020043385,0,24715.454550022114,100.0
none_30,none,3,2.152228296057462,1.855349303942539,0,24580.17853388744,100.0
none_29,none,3,2.205700934818885,1.8018766651811158,0,25051.17623281023,100.0
none_28,none,3,2.2492243769117155,1.7583532230882852,0,24868.797687637565,100.0
none_34,none,1,2.2137903984688316,1.793787201531169,0,11641.371195406495,100.0
none_33,none,1,2.168668848514008,1.8389087514859932,0,11506.006545542024,100.0
none_32,none,1,2.2076727149160407,1.7999048850839603,0,11623.018144748123,100.0
none_35,none,1,2.1507662199706252,1.8568113800293764,0,11452.298659911876,100.0
none_34,none,2,2.209115893761588,1.798461706238413,0,18268.71887669126,100.0
none_33,none,2,2.159843236702048,1.8477343632979533,0,17985.53625564817,100.0
none_32,none,2,2.184156260576432,1.8234213394235692,0,18175.48692647742,100.0
none_35,none,2,2.230359498417801,1.7772181015822,0,18143.37715516528,100.0
none_34,none,3,2.273756109430497,1.7338214905695029,0,25089.98720498275,100.0
none_33,none,3,2.211391386392425,1.7961862136075757,0,24619.710414825444,100.0
none_32,none,3,2.152228296057462,1.855349303942539,0,24632.171814649806,100.0
none_35,none,3,2.1897085746197873,1.8178690253802137,0,24712.50287902464,100.0
none_39,none,1,2.2392187002337596,1.7683588997662412,0,11717.656100701279,100.0
none_38,none,1,2.1895609002595644,1.8180166997404363,0,11568.682700778692,100.0
none_37,none,1,2.2456413224289706,1.7619362775710303,0,11736.923967286912,100.0
none_36,none,1,2.187825465387897,1.8197521346121044,0,11563.476396163689,100.0
none_39,none,2,2.202613320882214,1.804964279117787,0,18325.49606334792,100.0
none_38,none,2,2.1769785262669474,1.8305990737330542,0,18099.618279579536,100.0
none_37,none,2,2.2244091512691635,1.7831684487308377,0,18410.1514210944,100.0
none_36,none,2,2.2645489107292347,1.7430286892707658,0,18357.12312835139,100.0
none_39,none,3,2.1702161112342795,1.8373614887657221,0,24836.14439705076,100.0
none_38,none,3,2.207252122581749,1.8003254774182516,0,24721.37464732478,100.0
none_37,none,3,2.1536903721443,1.8538872278557017,0,24871.2225375273,100.0
none_36,none,3,2.1952078885616784,1.8123697114383228,0,24942.746794036426,100.0
calendar_43,calendar,1,3.105910344890934,0.9016672551090652,5,13817.731034672803,100.0
calendar_42,calendar,1,2.9884504710006095,1.0191271289993904,5,13465.351413001828,100.0
calendar_41,calendar,1,3.079368795125175,0.9282088048748253,5,13738.106385375526,100.0
calendar_40,calendar,1,2.963979620841982,1.0435979791580177,5,13391.938862525945,100.0
calendar_43,calendar,2,3.1437413955544566,0.863836204445545,5,22748.955221336175,100.0
calendar_42,calendar,2,3.1258355896548733,0.8817420103451271,5,22342.858181966447,100.0
calendar_41,calendar,2,3.0380714356009255,0.9695061643990756,5,22352.320692178302,100.0
calendar_40,calendar,2,2.949106168073304,1.058471431926695,5,21739.257366745856,100.0
calendar_43,calendar,3,2.9870215084365475,1.0205560915634517,5,31210.01974664582,100.0
calendar_42,calendar,3,3.017960484146777,0.9896171158532233,5,30896.73963440678,100.0
calendar_41,calendar,3,3.0619278733914546,0.9456497266085451,5,31038.104312352665,100.0
calendar_40,calendar,3,3.06141172220715,0.9461658777928489,5,30423.49253336731,100.0
calendar_47,calendar,1,2.99536137835244,1.0122162216475592,5,13486.08413505732,100.0
calendar_46,calendar,1,2.9608881601885373,1.0466894398114632,5,13382.664480565612,100.0
calendar_45,calendar,1,2.9842692658001697,1.0233083341998308,5,13452.80779740051,100.0
calendar_44,calendar,1,3.0652152928739493,0.9423623071260512,5,13695.645878621848,100.0
calendar_47,calendar,2,3.0942221372236505,0.91335546277635,5,22268.750546728268,100.0
calendar_46,calendar,2,3.1447995128672517,0.8627780871327486,5,22317.06301916737,100.0
calendar_45,calendar,2,2.966106452164929,1.04147114783507,5,21851.127153895297,100.0
calendar_44,calendar,2,3.0303386221520925,0.9772389778479075,5,22286.661745078127,100.0
calendar_47,calendar,3,3.0397671039759464,0.9678104960240538,5,30888.05185865611,100.0
calendar_46,calendar,3,3.0511505992037495,0.9564270007962509,5,30970.514816778617,100.0
calendar_45,calendar,3,3.033024683361674,0.9745529166383253,5,30450.20120398032,100.0
calendar_44,calendar,3,3.0154725128036586,0.9921050871963415,5,30833.079283489104,100.0
calendar_50,calendar,1,3.0394516032882017,0.9681259967117986,5,13618.354809864606,100.0
calendar_49,calendar,1,3.097865379875845,0.9097122201241556,5,13793.596139627536,100.0
calendar_48,calendar,1,2.984641633162921,1.0229359668370792,5,13453.924899488764,100.0
calendar_51,calendar,1,2.938352088181216,1.0692255118187837,5,13315.05626454365,100.0
calendar_50,calendar,2,3.063599469818293,0.9439781301817074,5,22309.153219319487,100.0
calendar_49,calendar,2,3.0718394194407637,0.9357381805592373,5,22509.114397949827,100.0
calendar_48,calendar,2,2.915175713479781,1.0924018865202187,5,21699.452039928106,100.0
calendar_51,calendar,2,3.0332537133677233,0.9743238866322754,5,21914.81740464682,100.0
calendar_50,calendar,3,3.07427988991431,0.9332977100856894,5,31031.992889062418,100.0
calendar_49,calendar,3,2.98178693582654,1.0257906641734598,5,30954.475205429444,100.0
calendar_48,calendar,3,2.9543254103134458,1.0532521896865543,5,30062.428270868444,100.0
calendar_51,calendar,3,3.058365837413702,0.9492117625862976,5,30589.914916887927,100.0
calendar_55,calendar,1,2.931134824788551,1.0764427752114476,5,13293.404474365652,100.0
calendar_54,calendar,1,2.988534551579595,1.0190430484204036,5,13465.603654738785,100.0
calendar_53,calendar,1,3.0005732760150905,1.0070043239849096,5,13501.719828045272,100.0
calendar_52,calendar,1,3.001987767640241,1.0055898323597594,5,13505.963302920723,100.0
calendar_55,calendar,2,3.016892632280414,0.9906849677195874,5,21844.082371206896,100.0
calendar_54,calendar,2,2.8942394528894035,1.113338147110596,5,21648.322013406996,100.0
calendar_53,calendar,2,3.03942128903018,0.9681563109698194,5,22119.983695135812,100.0
calendar_52,calendar,2,3.151518268649916,0.8560593313500863,5,22460.51810887047,100.0
calendar_55,calendar,3,2.9417226943466086,1.0658549056533915,5,30169.25045424672,100.0
calendar_54,calendar,3,2.9570820299801492,1.0504955700198513,5,30019.568103347443,100.0
calendar_53,calendar,3,2.9997327464560617,1.0078448535439395,5,30619.181934504,100.0
calendar_52,calendar,3,3.0500252338323324,0.9575523661676688,5,31110.593810367467,100.0
calendar_59,calendar,1,3.0574805564126546,0.9500970435873457,5,13672.441669237964,100.0
calendar_58,calendar,1,3.048859313912765,0.9587182860872345,5,13646.577941738295,100.0
calendar_57,calendar,1,3.0608978088880874,0.9466797911119131,5,13682.693426664262,100.0
calendar_56,calendar,1,2.8725427722544525,1.1350348277455475,5,13117.628316763357,100.0
calendar_59,calendar,2,2.960855517706235,1.0467220822937657,5,22055.008222356668,100.0
calendar_58,calendar,2,3.0720041665395548,0.9355734334604456,5,22362.59044135696,100.0
calendar_57,calendar,2,3.0055859995255902,1.0019916004744094,5,22199.451425241034,100.0
calendar_56,calendar,2,2.9867077253242327,1.0208698746757683,5,21577.751492736053,100.0
calendar_59,calendar,3,3.0664286552786555,0.9411489447213434,5,30754.294188192634,100.0
